Year,Month,Danceability,Danceability,Energy,Energy,Speechiness,Speechiness,Acousticness,Acousticness,Instrumentalness,Instrumentalness,Liveness
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean
1980,2,0.6549999999999999,0.11828155526450211,0.6047948717948718,0.1704386260099727,0.039753846153846153,0.010693968938608293,0.28488128205128205,0.21372485895765841,0.01205466564102564,0.025415329742423876,0.13016410256410255
1980,3,0.5941428571428571,0.11489578611361981,0.6564489795918367,0.21252853349849382,0.0406734693877551,0.01123263058218859,0.2488933673469388,0.2287900486103193,0.006185494285714285,0.01713378613614462,0.15158571428571427
1980,4,0.5008076923076923,0.09714484823428127,0.6143076923076923,0.24837516288562658,0.03967692307692308,0.011039395189676207,0.28036076923076925,0.32028772322926247,0.0009248384615384615,0.001990814791200211,0.18309230769230772
1980,5,0.54165,0.11853021901824373,0.5934250000000001,0.22761583554257292,0.0419975,0.027410165506193553,0.309881875,0.2827282034258696,0.004438825,0.01050561306205475,0.1678475
1980,6,0.5771714285714286,0.11536884218843128,0.5736571428571429,0.20904530086831913,0.04661714285714286,0.03881075870936612,0.32759571428571427,0.2637038593238045,0.003975184857142857,0.010171158030911367,0.14350285714285713
1980,7,0.6168461538461539,0.13996720263606466,0.5728717948717948,0.19897582231956293,0.04753589743589744,0.037100492883514774,0.3206651282051282,0.24656314508150473,0.005958845128205129,0.011326771144701684,0.13302051282051283
1980,8,0.65706,0.15367091926767218,0.57424,0.18540772059745209,0.051156,0.036196122015757316,0.32430770000000003,0.22615287958390415,0.005109169,0.010596874719918221,0.13088
1980,9,0.6933777777777778,0.13864249133667644,0.5560666666666667,0.19056976770630846,0.05296,0.03331416160788627,0.3007266666666667,0.21290786355519223,0.012697250222222222,0.027513837065910582,0.18398444444444442
1980,10,0.6547543859649122,0.16962493085605015,0.5031754385964913,0.2168745623961841,0.045628070175438594,0.023854070889367862,0.32802456140350883,0.2682079325826337,0.017075785263157894,0.028041595227573476,0.19343157894736843
1980,11,0.6421511627906977,0.172914090702111,0.5127441860465116,0.21155954167014693,0.04077325581395349,0.012320527341832742,0.3260872093023256,0.2576251420853045,0.015925226627906977,0.026460599697727075,0.1930720930232558
1980,12,0.6083896103896105,0.18171117596224798,0.5577142857142857,0.2155094244576677,0.04034415584415584,0.011500657801627257,0.3102337662337662,0.2632927186363964,0.014275760259740259,0.025558010692512678,0.20153506493506493
1981,1,0.5883488372093023,0.1879959178181246,0.5563372093023256,0.2209521966114266,0.04006279069767442,0.011065240185177959,0.30287790697674416,0.27417963772215115,0.01231756046511628,0.02251323131308331,0.19439651162790697
1981,2,0.5673214285714285,0.18566667171846699,0.5636785714285714,0.20547975853799122,0.03913035714285714,0.010898338816582963,0.2792,0.2633555453616408,0.005577795714285715,0.01157696844606831,0.19337500000000002
1981,3,0.5476041666666667,0.17051957391646416,0.6020625000000001,0.18009458581652457,0.03943125,0.010235776976817582,0.27739166666666665,0.2577909262002944,0.0040098325,0.009231725569434747,0.18144375000000001
1981,4,0.6106444444444445,0.15063277977729264,0.6285777777777778,0.15365701014817634,0.04178222222222223,0.01685930130236839,0.24688888888888888,0.23291722507657897,0.0034086146666666667,0.009392849761405458,0.17635111111111113
1981,5,0.6148088235294118,0.14723879045116006,0.6270294117647058,0.16977087022150833,0.04971323529411765,0.029114252059064406,0.28124117647058827,0.24020256764462958,0.0013652410294117646,0.005641015954868239,0.17875147058823532
1981,6,0.6347547169811322,0.1345059200384843,0.6233396226415094,0.1817519382391864,0.04713207547169812,0.02778922573162889,0.28207735849056603,0.2443176488016475,0.0016821083018867923,0.004952062684083399,0.1424566037735849
1981,7,0.618,0.14308227208625762,0.6528571428571429,0.18420833532007647,0.04285,0.020923778630905127,0.27755238095238094,0.24788374511402272,0.0018932292857142855,0.005495241964087233,0.14984285714285714
1981,8,0.5676734693877551,0.17117369197142784,0.6519183673469388,0.13859125103680095,0.04206326530612245,0.014110998870230493,0.2955357142857143,0.28327632085709764,0.0020304318367346938,0.005652821153670628,0.17579591836734693
1981,9,0.55978125,0.18475628836039568,0.6264375,0.11862299660091481,0.042615625,0.011808884281923969,0.32585000000000003,0.2791315656957162,9.396781250000001e-05,0.00026382023847791575,0.187690625
1981,10,0.5275897435897436,0.18932410500024302,0.6291538461538462,0.12971538448333692,0.046235897435897434,0.011042727713641445,0.30677948717948716,0.23787574286134214,2.6081538461538466e-05,3.743145247533089e-05,0.1861871794871795
1981,11,0.4938809523809524,0.14336839846046837,0.6746666666666666,0.14932934082932375,0.04416428571428571,0.010999996040544108,0.2665119047619048,0.22159036938919413,9.65657142857143e-05,0.00026455921261824293,0.24268809523809523
1981,12,0.4828888888888889,0.13859659401664917,0.6592222222222222,0.1519817867116435,0.04045555555555555,0.009063598920783365,0.26333333333333336,0.24316088501237199,0.00013547222222222224,0.00032268754570779557,0.2386888888888889
1982,1,0.5048163265306123,0.12513520578914294,0.639061224489796,0.184774909029345,0.040122448979591836,0.010591176856746579,0.25801224489795915,0.20973136948711024,0.01824191469387755,0.0887378810949858,0.2417183673469388
1982,2,0.53505,0.13088455472922186,0.649425,0.2006426709607316,0.04313,0.01405509671221595,0.22183000000000003,0.1971523843798666,0.045093798000000004,0.13468666126349094,0.2270475
1982,3,0.5784166666666667,0.1367637866298434,0.6709166666666667,0.1830321252273716,0.044408333333333334,0.01602691663226551,0.19212083333333332,0.18499471638036716,0.03806414,0.12373103486296042,0.21476666666666666
1982,4,0.5913658536585366,0.14102708181366463,0.6648292682926829,0.1959450053508668,0.0460609756097561,0.018317244307602343,0.20232439024390242,0.19282612605724336,0.044467312682926835,0.13304240833855582,0.20582439024390245
1982,5,0.5493170731707316,0.1430081184801042,0.6414146341463415,0.17706509757851155,0.04530731707317073,0.022879929963222162,0.1887439024390244,0.1981038680197594,0.0014650158536585363,0.003824782642971999,0.22277073170731707
1982,6,0.5922000000000001,0.1516762806692169,0.6590857142857143,0.12410914822151067,0.04538285714285714,0.025790416433860326,0.16086285714285714,0.16372971465859482,0.0012136548571428571,0.0037403814356460644,0.2243257142857143
1982,7,0.6225322580645162,0.1480049531450664,0.6887741935483871,0.13179895511350273,0.0415,0.022582352024331294,0.13102354838709676,0.1517968148016415,0.025615940322580646,0.08406447014009752,0.20337096774193547
1982,8,0.6353265306122449,0.14776281497655597,0.6920204081632653,0.1348988030889449,0.04170204081632653,0.022734293935556902,0.13390816326530613,0.15212201705749057,0.032106680000000005,0.09365857302098805,0.20294081632653058
