Year,Month,Danceability_mean,Danceability_std,Energy_mean,Energy_std,Speechiness_mean,Speechiness_std,Acousticness_mean,Acousticness_std,Instrumentalness_mean,Instrumentalness_std,Liveness_mean
1979,2,0.645944444,0.137446857,0.557666667,0.199369289,0.047574074,0.049036733,0.201102222,0.276091557,0.01341322,0.025108646,0.140133333
1979,3,0.679767857,0.063197523,0.601553571,0.155832885,0.066341071,0.102459909,0.076435714,0.078953532,0.005125559,0.010921143,0.138055357
1979,4,0.665514286,0.08291114,0.655257143,0.151836278,0.076591429,0.114434647,0.095465714,0.145310315,0.005089066,0.012017854,0.106622857
1979,5,0.688487179,0.09060669,0.654794872,0.157993701,0.065548718,0.095334022,0.166907692,0.226766378,0.011632136,0.025283417,0.096294872
1979,6,0.679960784,0.131386447,0.670784314,0.185325585,0.042680392,0.010588164,0.167409804,0.218617773,0.011966249,0.026634082,0.08174902
1979,7,0.676860465,0.13832804,0.661,0.1823987,0.043876744,0.012615199,0.165032093,0.211344119,0.012489381,0.026564729,0.086002326
1979,8,0.700093023,0.138182732,0.68155814,0.185814719,0.046660465,0.017287322,0.175773953,0.206817663,0.015762021,0.027620237,0.095762791
1979,9,0.70028125,0.141330597,0.66834375,0.178758733,0.051459375,0.019163774,0.1233725,0.130104024,0.022393841,0.034069998,0.096378125
1979,10,0.642809524,0.150736399,0.743095238,0.10731864,0.049504762,0.020695349,0.123857143,0.087324124,0.010169088,0.01795826,0.122028571
1979,11,0.67425,0.143630345,0.69375,0.1248782,0.052660714,0.022026017,0.205807143,0.211847531,0.012514649,0.021256487,0.154610714
1979,12,0.691604651,0.123868813,0.622534884,0.140919658,0.049197674,0.020670931,0.266155814,0.21556383,0.018072769,0.027080435,0.169730233
1980,1,0.688290323,0.111575443,0.591129032,0.14185644,0.042951613,0.015647084,0.298493548,0.217332085,0.016212363,0.027543704,0.15996129
1980,2,0.655,0.118281555,0.604794872,0.170438626,0.039753846,0.010693969,0.284881282,0.213724859,0.012054666,0.02541533,0.130164103
1980,3,0.594142857,0.114895786,0.65644898,0.212528533,0.040673469,0.011232631,0.248893367,0.228790049,0.006185494,0.017133786,0.151585714
1980,4,0.500807692,0.097144848,0.614307692,0.248375163,0.039676923,0.011039395,0.280360769,0.320287723,0.000924838,0.001990815,0.183092308
1980,5,0.54165,0.118530219,0.593425,0.227615836,0.0419975,0.027410166,0.309881875,0.282728203,0.004438825,0.010505613,0.1678475
1980,6,0.577171429,0.115368842,0.573657143,0.209045301,0.046617143,0.038810759,0.327595714,0.263703859,0.003975185,0.010171158,0.143502857
1980,7,0.616846154,0.139967203,0.572871795,0.198975822,0.047535897,0.037100493,0.320665128,0.246563145,0.005958845,0.011326771,0.133020513
1980,8,0.65706,0.153670919,0.57424,0.185407721,0.051156,0.036196122,0.3243077,0.22615288,0.005109169,0.010596875,0.13088
1980,9,0.693377778,0.138642491,0.556066667,0.190569768,0.05296,0.033314162,0.300726667,0.212907864,0.01269725,0.027513837,0.183984444
1980,10,0.654754386,0.169624931,0.503175439,0.216874562,0.04562807,0.023854071,0.328024561,0.268207933,0.017075785,0.028041595,0.193431579
1980,11,0.642151163,0.172914091,0.512744186,0.211559542,0.040773256,0.012320527,0.326087209,0.257625142,0.015925227,0.0264606,0.193072093
1980,12,0.60838961,0.181711176,0.557714286,0.215509424,0.040344156,0.011500658,0.310233766,0.263292719,0.01427576,0.025558011,0.201535065
1981,1,0.588348837,0.187995918,0.556337209,0.220952197,0.040062791,0.01106524,0.302877907,0.274179638,0.01231756,0.022513231,0.194396512
1981,2,0.567321429,0.185666672,0.563678571,0.205479759,0.039130357,0.010898339,0.2792,0.263355545,0.005577796,0.011576968,0.193375
1981,3,0.547604167,0.170519574,0.6020625,0.180094586,0.03943125,0.010235777,0.277391667,0.257790926,0.004009833,0.009231726,0.18144375
1981,4,0.610644444,0.15063278,0.628577778,0.15365701,0.041782222,0.016859301,0.246888889,0.232917225,0.003408615,0.00939285,0.176351111
1981,5,0.614808824,0.14723879,0.627029412,0.16977087,0.049713235,0.029114252,0.281241176,0.240202568,0.001365241,0.005641016,0.178751471
1981,6,0.634754717,0.13450592,0.623339623,0.181751938,0.047132075,0.027789226,0.282077358,0.244317649,0.001682108,0.004952063,0.142456604
1981,7,0.618,0.143082272,0.652857143,0.184208335,0.04285,0.020923779,0.277552381,0.247883745,0.001893229,0.005495242,0.149842857
1981,8,0.567673469,0.171173692,0.651918367,0.138591251,0.042063265,0.014110999,0.295535714,0.283276321,0.002030432,0.005652821,0.175795918
1981,9,0.55978125,0.184756288,0.6264375,0.118622997,0.042615625,0.011808884,0.32585,0.279131566,9.40E-05,0.00026382,0.187690625
1981,10,0.527589744,0.189324105,0.629153846,0.129715384,0.046235897,0.011042728,0.306779487,0.237875743,2.61E-05,3.74E-05,0.186187179
1981,11,0.493880952,0.143368398,0.674666667,0.149329341,0.044164286,0.010999996,0.266511905,0.221590369,9.66E-05,0.000264559,0.242688095
1981,12,0.482888889,0.138596594,0.659222222,0.151981787,0.040455556,0.009063599,0.263333333,0.243160885,0.000135472,0.000322688,0.238688889
